pitcher_id,pitch_type,pitches,start_speed,ivb,hb,spin_rate,launch_angle,whiff rate,proportion
805123,CU,233,77.4,-11.5,-7.8,2267.0,-1.0,0.22448979591836735,0.105
805123,SI,25,90.3,10.5,13.2,2027.0,21.0,0.0,0.011
805123,,6,,,,,,nan,0.003
670109,FF,652,95.4,13.5,3.7,2159.0,13.0,0.23202614379084968,0.641
670109,SL,331,86.3,-2.0,-4.6,2275.0,9.0,0.4195804195804196,0.325
670109,ST,34,83.5,2.2,-10.7,2222.0,8.0,0.4,0.033
676961,FF,883,88.6,14.1,1.0,2305.0,23.0,0.17727272727272728,0.397
676961,SI,386,89.8,10.3,14.0,2142.0,10.0,0.10465116279069768,0.173
676961,CH,371,83.6,4.4,13.7,1676.0,8.0,0.26595744680851063,0.167
676961,ST,260,79.8,1.9,-10.7,2385.0,11.0,0.3235294117647059,0.117
676961,CU,248,74.6,-10.3,-7.6,2372.0,17.0,0.24271844660194175,0.111
676961,FC,74,88.1,12.0,-2.1,2317.0,14.0,0.23684210526315788,0.033
676961,,2,,,,,,nan,0.001
676961,SL,1,86.4,6.4,-5.4,2390.0,,nan,0.0
680742,FF,667,94.1,16.2,7.4,2194.0,16.0,0.27323943661971833,0.371
680742,SL,463,86.1,3.4,-1.8,2458.0,16.0,0.35348837209302325,0.257
680742,SI,229,94.8,12.0,13.4,2118.0,8.0,0.1323529411764706,0.127
680742,CH,226,87.4,5.4,12.1,1468.0,10.0,0.23880597014925373,0.126
680742,CU,211,82.0,-7.4,-12.6,2412.0,9.0,0.39285714285714285,0.117
680742,,3,,,,,,nan,0.002
671212,FF,500,99.0,14.2,4.7,2539.0,10.0,0.26066350710900477,0.577
671212,SL,331,88.9,-1.4,-3.6,2609.0,20.0,0.4935064935064935,0.382
671212,ST,31,84.9,-5.2,-14.1,2641.0,12.0,0.5,0.036
671212,CU,3,80.5,-11.8,-7.9,2401.0,,nan,0.003
671212,,1,,,,,,nan,0.001
681815,SI,310,90.0,3.4,14.8,2233.0,-5.0,0.13333333333333333,0.404
681815,CU,185,80.5,-2.2,-9.4,2237.0,14.0,0.14084507042253522,0.241
681815,FC,107,86.8,5.9,0.1,2359.0,14.0,0.17391304347826086,0.139
681815,FF,100,89.6,11.4,8.9,2229.0,26.0,0.19047619047619047,0.13
681815,CH,66,84.6,1.3,9.5,1627.0,14.0,0.13793103448275862,0.086
688953,FF,346,91.4,19.3,3.5,2498.0,27.0,0.2765957446808511,0.552
688953,FC,189,87.4,9.1,-3.8,2513.0,20.0,0.1956521739130435,0.301
688953,SI,57,89.7,9.1,15.9,2125.0,-2.0,0.3684210526315789,0.091
688953,CU,33,79.5,-11.9,-10.1,2643.0,9.0,0.23529411764705882,0.053
688953,SL,2,88.2,0.2,-1.8,2108.0,,nan,0.003
656257,FF,307,94.3,17.2,9.3,2365.0,36.0,0.40397350993377484,0.38
656257,ST,254,81.5,0.2,-14.6,2800.0,17.0,0.2719298245614035,0.314
656257,FC,247,89.3,10.7,-1.3,2553.0,26.0,0.28,0.306
605156,SI,361,91.8,7.6,14.5,1875.0,1.0,0.08717948717948718,0.349
605156,SL,292,85.2,0.1,-2.6,2481.0,10.0,0.4068965517241379,0.282
605156,FF,207,92.0,12.5,10.5,1981.0,15.0,0.12222222222222222,0.2
605156,CH,136,84.2,2.5,12.6,1850.0,6.0,0.25675675675675674,0.131
605156,KC,39,79.7,-3.3,-4.9,2274.0,-6.0,0.25,0.038
677865,FC,242,87.0,8.2,2.3,2335.0,9.0,0.16806722689075632,0.354
677865,SI,237,89.4,4.5,-15.5,2125.0,-7.0,0.15789473684210525,0.346
677865,ST,204,77.9,-3.1,18.3,2551.0,19.0,0.4845360824742268,0.298
677865,,1,,,,,,nan,0.001
571527,FC,623,87.7,5.0,-4.1,2179.0,7.0,0.153125,0.322
571527,SI,496,91.0,9.7,12.7,1982.0,4.0,0.16972477064220184,0.257
571527,CH,421,83.2,10.7,12.5,1761.0,14.0,0.39574468085106385,0.218
571527,CU,235,76.1,-15.9,-5.4,2413.0,5.0,0.11702127659574468,0.122
571527,FF,133,90.5,14.9,3.3,2136.0,11.0,0.11320754716981132,0.069
571527,ST,23,80.4,-1.2,-11.5,2440.0,3.0,0.09090909090909091,0.012
571527,FA,1,70.7,12.1,7.4,1441.0,,nan,0.001
571527,,1,,,,,,nan,0.001
680732,FF,581,94.7,18.2,5.6,2517.0,20.0,0.2793103448275862,0.481
680732,SL,288,85.7,3.5,-4.0,2418.0,13.0,0.34375,0.238
680732,CU,225,78.3,-15.5,-6.7,2498.0,8.0,0.3953488372093023,0.186
680732,CH,113,85.3,11.4,13.8,1895.0,31.0,0.5128205128205128,0.094
680732,,1,,,,,,nan,0.001
669142,FF,707,92.8,19.5,3.8,2256.0,26.0,0.2610294117647059,0.555
669142,SL,385,86.6,6.5,-7.0,2389.0,7.0,0.3277777777777778,0.302
669142,CU,100,78.2,-8.8,-3.5,2218.0,18.0,0.2619047619047619,0.078
669142,CH,78,86.0,10.7,11.4,1785.0,1.0,0.20588235294117646,0.061
669142,SI,3,92.4,17.6,11.3,2422.0,,0.0,0.002
669142,,1,,,,,,nan,0.001
681347,FF,301,94.4,17.0,8.4,2196.0,19.0,0.21764705882352942,0.451
681347,SL,171,88.1,6.7,-2.4,2291.0,6.0,0.3617021276595745,0.256
681347,CH,111,85.6,9.1,13.8,1567.0,-3.0,0.5094339622641509,0.166
681347,CU,85,78.6,-12.7,-5.4,2761.0,5.0,0.4074074074074074,0.127
641427,FC,322,91.4,10.2,0.0,2513.0,18.0,0.1813186813186813,0.317
641427,ST,226,83.3,-1.0,-12.4,2560.0,13.0,0.38317757009345793,0.222
641427,SI,163,93.6,7.6,15.1,2213.0,4.0,0.21794871794871795,0.16
641427,FF,139,94.1,15.2,8.1,2368.0,19.0,0.09090909090909091,0.137
641427,CU,107,82.0,-10.3,-5.8,2652.0,6.0,0.16129032258064516,0.105
641427,CH,55,86.6,3.3,12.4,1605.0,20.0,0.2916666666666667,0.054
641427,SL,3,83.2,0.3,-5.1,2507.0,,0.0,0.003
641427,,2,,,,,,nan,0.002
676130,SI,185,92.7,10.0,14.6,2163.0,2.0,0.125,0.255
676130,ST,165,82.0,-4.5,-13.2,2572.0,20.0,0.4528301886792453,0.227
676130,FF,154,93.9,15.0,6.3,2375.0,27.0,0.18181818181818182,0.212
676130,CH,129,85.9,3.1,8.0,1825.0,14.0,0.4383561643835616,0.178
676130,SL,83,83.9,1.0,-3.6,2597.0,12.0,0.3103448275862069,0.114
676130,CU,7,80.3,-6.9,-17.3,2444.0,4.0,0.0,0.01
676130,,3,,,,,,nan,0.004
547176,FF,200,91.4,12.1,-5.1,1842.0,13.0,0.12037037037037036,0.263
547176,SL,184,83.2,4.8,5.2,1970.0,12.0,0.2413793103448276,0.242
547176,CH,163,81.1,9.3,-9.5,1480.0,15.0,0.325,0.214
547176,SI,110,91.3,11.9,-11.3,1941.0,13.0,0.125,0.145
547176,CU,100,78.0,-0.0,10.1,2109.0,3.0,0.4318181818181818,0.132
547176,,3,,,,,,nan,0.004
702070,FF,262,92.3,16.3,-4.2,2105.0,20.0,0.18181818181818182,0.352
702070,CH,187,79.4,9.5,-10.8,1436.0,13.0,0.4576271186440678,0.251
702070,CU,177,80.4,-7.8,1.1,2080.0,9.0,0.3939393939393939,0.238
702070,FC,113,90.0,8.6,2.8,2303.0,1.0,0.22972972972972974,0.152
702070,SL,6,86.5,3.4,3.8,2310.0,6.0,0.0,0.008
686563,SI,258,92.5,4.0,15.6,2049.0,6.0,0.11764705882352941,0.368
686563,FC,177,89.0,7.6,0.6,2325.0,13.0,0.23157894736842105,0.252
686563,ST,132,81.8,2.5,-12.2,2570.0,15.0,0.36666666666666664,0.188
686563,CH,73,85.1,-0.3,12.5,1597.0,5.0,0.24242424242424243,0.104
